#MenusAndUI

sytx901	&Nová Hra
cosi0302	Darragh: Well, ideally when you go through the process you um, you know you have character pictures along with the audition copy and we would send that out to the various agencies, and the auditions would come back. It kind of, the process kind of does that for you because you're listening to the auditions and you're looking at the picture and you narrow it down to like, you know, a handful of candidates and then sort of, we'd sit down with Tim and... You know, just go through them and sometimes there's only one choice. You just know it.
cosi0303	Lleslle: Right. It's just so... great. All of them.
cosi0304	Darragh: What you do is you cast for like the major characters and then use that same talent pool with a lot of the smaller characters. And so that's why Kay [Kuter] is, you know he was cast for Velasco, but then the croupier just was one of those that's like, okay, well, that fits. He works.
cosi0305	Lleslle: So you let the actors pretty much kind of come up with their character as well, when they look at the picture?
cosi0306	Darragh: Yeah, yeah. Like for those secondary characters, they're totally undefined when you're in the studio and so you just kind of sit there, look at the picture... Look at the lines, talk about it, dial a voice in. And then go.
cosi0307	Lleslle: Yeah, just create... Ah, I love it! It's just creative everywhere, you know? Like through the whole thing. Not just with us but even with the actors and stuff like that. You really are like watching a movie. It's amazing.
cosi0308	Darragh: You really want that relationship between sort of the voice-over director and the actor to be collaborative and allow them the freedom to bring stuff to the table, and try things and, um, it just adds a lot.
cosl0101	Darragh: This is Pamela Segall, who plays Bobby on "King of the Hill." She's quite a character. She has a minivan with flames on the side.
cosl0102	Julian: Oh, yes.
cosl0103	Darragh: And a skull on the, uh, the front where it replaces-- I don't know what brand it is, but let's say it's Chrysler or somebody. And so instead of the Chrysler logo there's a skull and crossbones. She's pretty funny.
cosl0104	Julian: Did she just do this as one big long...?
cosl0105	Darragh: Yeah, all one take so she could build and build.
cosl0106	Julian: Yeah, yeah.
cosl0107	Darragh: You know, let it sort of ebb and flow.
cosl0108	Clint: And obviously, Pete's [McConnell] quotation of "There's No Place Like Home" is something we all admired in Carl Stalling, who did a lot of the compositions for the "Merrie Melodies" Looney Tunes cartoons. And any time, as you may know, that a chicken comes on screen or something it will play "Turkey in the Straw," or you know various public domain songs that were relevant to the subject of the moments, so she was reminiscing about home and Pete strikes up a--
cosl0109	Julian: That's really cool.
cosl0110	Clint: "There's No Place Like Home."
cosl0201	Tim: Her um, her character's a little bit inspired by, I think it's "Big Sleep" too, where Bogart is hiding from someone. He needs to hide in a book store.
cosl0202	Peter M: Right.
cosl0203	Tim: And he goes in there, and there's a woman in there and she's really into him.
cosl0204	Peter M: "Do you have a Ben Hur, 1863 edition, the one with the errata on page... 47 or something?"
cosl0205	Tim: Wow, that is a memory you have.
cosl0206	Peter M: Well...
cosl0207	Tim: And it's just really-- He just, he looks at her and he's like, um, she seems like she's really attracted to him, if I remember correctly. And he like takes off her glasses, he's like, "Yeah, okay." It's a really kind of messed up scene.
cosl0208	Peter M: Well, that's-- You know, that was the subtext of the noir film.
cosl0209	Tim: And then he pulled the shade.
cosl0210	Peter M: Hanky panky.
cosl0211	Tim: Yeah, the hanky panky. Yeah they lock the door and pull down the shades. And that's a little bit what this scene is a reference to, or inspired by.
cosl0212	Peter M: 'cause she's telling him her story.
cosl0213	Tim: Mm hm.
cogt0101	Clint: Speaking of database, I mean that was really how we accomplished so much, right? Is from an organizational standpoint of the music, of the sound effects, and of the voice. And I remember, especially for voice, how critical it was. And what we in the sound department would do is inherit and share the use of the database with the voice department, um, and you could do a search and isolate all the lines for, say, Manny, or isolate all the lines that needed to have reverb baked into them, or another type of processing. And then you would just divide and conquer, and just master everything in groups and bring it all together. Have single reference for volume. And uh, use the database to keep organized and isolate different found sets of different criteria.
cots0101	Tim: Strange, the characters in this game don't like to go into crowded areas, almost as if it's too hard to render them.
cobi0101	Bret: There's that spotlight.
cobi0102	Kevin: Mm hm. Yeah, so this was another like-- We lifted up the, er, took the technology from Renderdroid, which was in "Jedi Knight," but it didn't have spotlights at the time. It just had directional lights and point lights. So that was actually one of the very first things when, uh--
cobi0103	Bret: Yeah, that's the first thing you did.
cobi0104	Kevin: Yeah, when I got hired onto the team, which I was brand new to LucasArts, and uh, Tim and Bret brought me in and my first thing I was like, "I'm gonna put in spotlights, 'cause I know how to do that, and it's gonna matter, and uh, that'll be my stake in the ground." And this was one of the first scenes I worked on that had spotlights. So... when Manny walks off stage and you see the light, you know when he walks out of the light... That was a pretty important moment. Everybody thought that was pretty cool. I was like, alright, I did something. I'm in this amazing project with this amazing team and I did something.
cobi0201	Tim: And then, for some reason I was always really interested in beatniks. Beatniks and reds. I think it was so foreign to me, like the "Red Scare" was not part of my actual life, but it always seemed like-- This thing is, it's hard... It was always funny to me to imagine how passionate people were about that. How big of a deal--
cobi0202	Peter M: Oh yeah.
cobi0203	Tim: -- it was for them. And it was always... from a safe distance it was just kind of entertaining. Like, oh wow, people were really concerned about Communists everywhere and unions and...
cobi0204	Peter M: I remember there were--when I was a little kid there were-- people would still talk about Communist plots in all seriousness, yeah.
cobe0101	Paul: Oh and I'm sorry, Gaurav, this is the set that you had to build twice.
cobe0102	Mark: This is Gaurav's, right?
cobe0103	Gaurav: Yeah, this is the one.
cobe0104	Paul: This was the gift that kept on giving.
cobe0105	Dave: And it's actually very beautiful.
cobe0106	Paul: Yes! Well, a second time is...
cobe0107	Gaurav: Too kind. Yeah, the second time...
cobe0108	Paul: But I'm sorry, you were saying that that was a real building.
cobe0109	Gaurav: Yeah, yeah.
cobe0110	Paul: Where? Was that in Spain?
cobe0111	Gaurav: Uh, I think it's in Paris. I think. And I remember seeing a photo of it and being like, "Wait, Peter [Tsaykel]..."
cobe0112	Paul: Uh, nuh... Good artists borrow, great artists steal.
cobw0101	Paul: Oh, we definitely should give a huge shout-out to Peter Chan and-- Yeah, I'm still jealous of that guy.
cobw0102	Dave: "Chan the Man."
cobw0103	Paul: I know. Just when those packages [of concept art] would come it would just be like Christmas, and you'd open... Yeah you'd see those and you just think, "Aw man, and he's a nice guy, too," you know. Happy family--
cobw0104	Dave: The weird thing about that was I never experienced like the delivery of the package first-hand, but I still got excited about it.
cobw0105	Paul: Nah, they were beautiful. And he's such a sweetheart.
coci0101	Dave: I remember animating Manny sliding down the banister. And I remember Tim kept calling for something... "He's gotta look cool!" And so I did that, and I don't think he was ever really happy with it. So I don't know, apparently I don't know what "cool" means.
coci0102	Mark: Gotta put some Ray-Bans on him.
coci0103	Dave: Aw, yeah. I mean he's, Manny's a suave guy but I don't know if suave guys slide down banisters. Maybe I should have done it slower.
coci0201	Tim: You get a special award for playing the "Rusty Anchor" song.
coci0202	Peter M: I secretly wanted to be, to sing this one. I did a demo for you, remember?
coci0203	Tim: Yeah, this is one of the things--much like Cabbage Boy--that we wrote together. I wrote the lyrics and then you came up with a tune and then changed the lyrics a little bit to actually make them more musical... "My boat's got a rusty anchor..."
coci0204	Peter M: Yeah... "Oh, rusty anchor! Going down, down, down." See?
coci0205	Tim: Do it! "Oh, rusty anchor... [Guess I gotta] stink around." I said "stink around." It's "stick around."
coci0301	Tim: I wish you would slide down the banister because we put a lot of effort into sliding that banister.
coci0302	Tim: Come on, slide down the banister. I recommend any player who's in this room slide down the banister. It's much faster than walking.
coci0303	Peter M: Especially if you're six and you don't have terrible consequences when you hit the bottom.
coci0304	Tim: You should not try that at home. Actually, kids, you should. You should go slide down the banister of your house right now.
coci0305	Peter M: Everybody's gotta do it once!
cowc0101	Bret: So this is a-- This is one of the parts of the game where a huge amount was cut out. There was supposed to be a gigantic action sequence, like there was in all of-- You know, I think we cut a giant action sequence out of every year. But there was a gigantic action sequence where there was an animal called the "Dillopede" that guarded the bottom of the elevator. It was a giant armadillo. And the Dillopede was there to, uh, kind of snap at Manny as he came down. There's this whole sequence where you had to kind of, you know... You had the Dillopede hanging by some elevator cable and he was snapping at you, and you had to swing on him or something like that, and... It's just the idea of a giant, vicious armadillo still sticks with me, but it was one of those things where it's like, you look at the context of the game and it's an adventure game and the budget's short. We were already going to be a huge game. What purpose is this serving the game? So we had to cut a lot of stuff out like that, that just was really cool and fun to design but ultimately not critical to the game and was going to be really expensive.
#year3commentary	
cofh0101	Dave: Tim had the coolest office.
cofh0102	Mark: He did.
cofh0103	Dave: It was filled with, like, tiki lights and it felt like, it was like Christmas land. Not Christmasey, but... It gave you that same feeling of decoration and homeyness.
cofh0104	Alex: Yeah. I was going to say warmth. Yeah, homeyness. There was a couch in there which was always nice.
cofh0105	Dave: Yup. And I think I probably overstayed my welcome in there a few times.
cofh0106	Gaurav: I think we all probably did.
cofh0107	Mark: You never knew when you were, when you should leave 'cause it was so much fun in there, but then it's like, oh man, he has work to do.
cofh0108	Dave: Yeah, it's no wonder he had to work through the night. It's because we would--
cofh0109	Alex: We would bother him all the time.
cofh0110	Dave: His office was like going to Disneyland and you'll just sit in there and talk on the couch and just want to be a part of this... uh... this creation.
cofh0111	Alex: He had some old game consoles in there, and I would go and talk classic games with him 'cause he knew that I was an enthusiast as well. So that was fun.
cofh0112	Mark: I think he should have made his office more boring.
cofh0113	Dave: He did spend a lot of time in that office.
cofh0114	Alex: How's his office now?
cofh0115	Dave: I've seen pictures. I think it's pretty cool.
cofh0116	Mark: It's pretty cool. It's like a grown-up version of that office, maybe. He's still got all his Rubik's Cubes on his desk.
cofh0117	Paul: Oh, I forgot about the--
cofh0118	Dave: I forgot he was a master of the Rubik's Cube.
cofh0119	Mark: He is.
cofh0120	Alex: Really?
cofh0121	Mark: Yes. Don't challenge him.
cofh0122	Alex: Well, I would never.
cofo0101	Tim: Mm hm. I always thought it was because they're so cute, I just had to, um, be mean to them. Like once, when my sister got her tonsils taken out, she had big puffy cheeks. I remember my aunt came to visit and she goes, "Oh, you look so cute! I just want to be mean to you!" And I never really understood it until I, we had these little baby angels in the game. I just, "Ooh, I just, wanna just terrorize them!" So you can get out your scythe and scare them and do all these horrible things.
cofo0102	Peter M: It's the Mr. Bill--
cofo0103	Tim: It's a little sick.
cofo0104	Peter M: It's the Mr. Hands in all of us.
cofo0201	Tim: "Angelitos" is actually, um... The little children in the cage, comes from a term that-- It was a popular kind of, um... Well, it was traditional in Mexico to take pictures of your children, even if they died very young. Like, photography of little dead children.
cofo0202	Peter M: It's a old genre, yeah.
cofo0203	Tim: I don't know if that happened in the States, but it was definitely in Mexico.
cofo0204	Peter M: Mexico, yeah. I've seen those. I think you showed them to me, actually.
cofo0205	Tim: And the word they use for children when they-- When they're young, when they died is "angelitos."
cofo0206	Peter M: Oh, yeah.
cofo0207	Tim: It's a dark, dark game.
cofo0208	Peter M: It is dark.
cocy0101	Tim: God, this is where people-- Nowadays it would be like, "Tim, the ideas you have here about this conveyor belt where they can switch directions and rip those chains with a scoop is really complicated, and we could eliminate a lot of work if we just cut this one puzzle." But it's just like, no, we went all the way and we fully implemented exactly what I hoped would happen. The conveyor belt would reverse direction, chain would go up and down, Manny would climb down and against the force of water, bunch up the chain. This is all so complicated. Oh, and you create a little loop. I was like, "This all makes sense in my mind, so the player will be able to figure this out." Like the way that you looped it over that, um, boat. I don't even know if that would work. That's like when you whip a hose to like get it uncaught, when you're watering the plants in the backyard. Your hose gets caught.
cocy0102	Peter M: Right, right, yup. And it did a little whiplash effect, yeah.
cocv0101	Kevin: So one of the things that was super-- Another technical problem that was really interesting was the save/load, 'cause I wanted to cut a bunch of corners on save/load to just make it a little easier to implement. And we had talked about things like you could only save and load, or when you load it would load at the beginning of a room and back up content a little bit. Or just do it where it was a little bit more convenient. And Tim really wanted a really high-fidelity save/load. I remember trying to talk him out of it and he threw the gauntlet down. He was like, "If Manny is in the middle of a line and there's a puff of smoke hanging in the air, then, and I hit save, when he restores he should pick up from the middle of that line where he was at and that puff of smoke should be in the air." And I was like, "Alright, man, if that's what you want that's what you're gonna get." And uh, it was a big pain. It took a lot of work to get it there. But that's the way the game shipped and that's kind of, you know, with controls and things like that, Tim was pretty uncompromising and had a vision of what he wanted this thing to be. And, you know, as much as we were able we gave him what he wanted.
cocu0101	Tim: Now this, all that water was running in the "Rebel Assault" engine. The game is running in the "Jedi Knight" engine, and the, uh--
cocu0102	Peter M: Oh, that's right!
cocu0103	Tim: All the streaming video is from the "Rebel Assault" engine.
cocu0104	Peter M: "... Assault" engine, that is right!"
cocu0105	Tim: So we're compositing the "Rebel Assault" technology on top of "Jedi Knight" technology, and then all the Lua scripting for the gameplay is what comprised the GrimE engine, which we never actually called the GrimE engine at the time but Bret wanted to call it the GrimE engine. It's like, "Grim."
cocu0106	Peter M: Oh, that's funny.
cocu0107	Tim: And later he's been able to do enough interviews where he's called it the GrimE engine, that people just call it the GrimE engine. Now that's fine, it should have a name.
cocu0108	Peter M: Everything should, yeah.
cocu0201	Tim: Those look like my sister's curling iron.
cocu0202	Peter M: I was just going to say, those things always scared me. They're truly terrifying, those--
cocu0203	Tim: The curling iron?
cocu0204	Peter M: Those grinder-- No, the--
cocu0205	Tim: Oh, the grinders.
cocu0206	Peter M: The grinders. The curling irons, to a lesser degree.
cocu0207	Tim: Those are based on my sister's curling iron. No, you don't call them curling irons. Curlers! Based on my sister's curlers.
cocu0208	Peter M: Curlers, right.
cocu0209	Tim: And my terrible fear of curlers.
cocu0210	Peter M: They're fearsome things.
cosu0101	Peter M: The um, the sort of whale sounds in the music are, um, overblowing on the contrabass clarinet.
cosu0102	Tim: Oh yeah. [whale noise]
cosu0103	Peter M: Yeah, Ralph Carney doing his little-- Same thing with the birds that jump up at you and surprise you and squawk.
cosu0201	Tim: So he's been-- This is like a play on moth navigation. Like they say that moths fly into lights 'cause they're used to using the moon for navigation, and they're not used to electric lights. And so he's, um, used to using the moon for navigation but he's been distracted by this thing called The Pearl. And it's made him march in circles all these years.
covd0101	Dave: Are the three stripes on the back of Manny's head, is that hair?
covd0102	Peter T: No, it's just a lazy, lazy design element to match the front of his head.
covd0103	Dave: Oh and the tops of his hands, remember? There's little stripes on there, too.
covd0104	Mark: Day of the Dead decorations, right?
covd0105	Peter T: Yeah.
covd0106	Dave: I never knew what it was, I just thought it was cool.
covd0107	Peter T: It's an Adidas homage.
coew0101	Gaurav: So this whole environment I think was worked on around the end of the game and we had to bring in a few other artists on at the end in order to get it all done.
coew0102	Paul: Yeah. I kind of remember that, towards the end, 'cause it was just like a skeleton crew. The budget had gotten so big that I just remember Pete [Tsaykel] and a few other people working on it for a couple of months or something, while all of us had to move on to other projects.
colu0101	Peter M: So once in a while, if there was a solo part that we could, um, get to be recorded by a real person, we would do that. But um, I don't know if you remember, we were kind of under a lot of schedule pressure with that.
colu0102	Tim: I do remember some--
colu0103	Peter M: And people were like--
colu0104	Tim: One late night or two. There was a late night or two.
colu0105	Peter M: And then there was like, "You're spending thirteen thousand dollars on live musicians!? Are you crazy?" So we were lucky we could do what we could do at all, but...
colu0106	Tim: And look, where are those guys today? I don't even remember their names, and here we are talking about "Grim."
colu0107	Peter M: Exactly.
colu0108	Tim: Those guys are all dead. I'm sorry, I'm sorry, I meant I hope they're dead.
colu0109	Tim: I hope they're happy, spending time with their families, and no longer working on games.
colu0110	Tim: Which I think actually is true.
colu0201	Mark: It's hard to make them kiss 'cause they have those--
colu0202	Alex: They don't have lips.
colu0203	Dave: They should've added like a [knock sound], like a knocking sound.
colu0204	Alex: Oh, that would've been funny.
colu0205	Mark: Bones kissing.
colu0206	Dave: Yeah, making out. Imagine what that sounds like with a bony face.
colz0101	Bret: We stole a lot of the really good things out of SCUMM and kept them. We kept the idea of the chore tool, which I just call CHORTLE, but they had CYST and BILE and all these bodily humor-flavored tools from SCUMM. CYST, BILE, FLEM, MMUCUS, and we kept-- But the, there are analogues, like the chore tool is the really big one, but it's the analogue to what they did in CYST which was the costume editor for all the other adventure games. And we kept those paradigms, you know they manipulate 3-D elements and 2-D elements and movies and things together on one timeline, but that really is harkening back to exactly what they were doing in 2-D games.
colz0102	Kevin: Lucas[Arts] is remembered for the great art and the funny writing and all of that, but it's all built on--
colz0103	Bret: Yeah, it's good tech.
colz0104	Kevin: Just amazing tech.
codp0101	Tim: One weird trivia fact about the world that I learned, I was um, I saw a couple of Manny Calavera tattoos when I was at PAX. And someone asked me, "Why are there no Glottis tattoos?" I started Googling and I couldn't find a single Glottis tattoo on the Internet. I found many Manny tattoos. And so I don't know why Glottis-- I'll just say that on the Internet tomorrow.
codp0102	Peter M: That there need to be more Glottis tattoos, I agree with that.
codr0101	Peter M: I was gonna say about the music, where he reveals the whole big conspiracy theory, that was a jam between the cello player and the, um, the contrabass clarinet player.
codr0102	Tim: Oh yeah.
codr0103	Peter M: Basically, the idea was that since it's a whole complicated conspiracy, that they would just jam and jam forever on the same theme, kind of weaving it out.
codr0104	Tim: Mm hm.
codr0201	Tim: You can't hear what he's listening-- What is Domino listening to on his headphones, in your mind?
codr0202	Peter M: Oh, he's li-- It's not just what he's--
codr0203	Tim: You can actually hear like a little--
codr0204	Peter M: He's listening to his own theme, and it's done as a headphone-- We mixed it so it would sound like headphones. It's very quiet, but he's listening to his own music.
coac0101	Dave: One thing that was a little weird animating all this underwater stuff: when you animated a little section like Manny jumping off the conveyor belt, or climbing up a chain, or getting dragged along by a boat or whatever, you would always try to add that element of the physics of being underwater. And then seeing the harsh contrast of when you're back in interactive mode and we're still using the same animation of him walking above water, it was hard for an animator to get over that. These little things you can't let go of.
coac0102	Mark: You would have had to do a whole new set of anims, like...
coac0103	Dave: And that, well, the other thing is we may not have, that may not have been the... The thing that would've stopped something like that. It could've even been, like... There would be too much code required to switch a system or something. Like, who knows what the reason was.
coei0101	Clint: Thinking back to the way that we all worked together at LucasArts. You know, the way the different departments collaborated. You know, it was-- Everybody just assumed that we were all rooting for each other and on the same team, and there was almost no sense of kind of trial period or-- Nowadays, and for a long time now in the video game industry, a lot of times when you are in a service capacity, such as sound or audio/music, uh, there's really a vetting period where what you're presenting is being vetted by the directors and producers and you need to hear back. What did they think? Are they going to want to continue to work with us, and that kind of thing. And that's fine. It's the way the film industry is, that's the way things are. But back then, especially at LucasArts, it was not at all like that. Everyone just wanted to be working together. It was all one team. Everyone was facing in the same collaborative direction and achieving fun results. I think that creates an atmosphere in which people feel comfortable creating and taking risks. So it paid off, I think.
cogh0101	Dave: I remember being really-- See how their hands kind of clip through their sleeves? I remember being really annoyed by that, as an animator. Having to settle to do it 'cause you just, you couldn't get the poses and the lines you needed... uh... without making things kind of collide. It's something we just had to kind of live with.
cogh0102	Peter T: And something we still live with today.
cogh0201	Mark: So that chain that's holding the ship. At one point we had to add joints to that because I think at one point it's animated. And it kept crashing and we couldn't figure out why, and we eventually figured out that you couldn't have more than ninety-nine joints in a rig in Softimage at that point. It had like a hundred joints or something.
cogh0202	Paul: No, but again it's this funny thing when people maybe see this stuff and they think of movies now that maybe look better, but we were having to deal with a lot of limitations.
cogh0203	Dave: I'm actually really, really excited to see the Remastered version because, you know, you look at elements of this game that was made over fifteen years ago and visually it still kind of holds up to games that you can see today. So I'm curious about what it's going to look like after Double Fine gets finished with it. I think it'd be pretty special.
covi0101	Darragh: It's funny, the casting of Manny was... It was tough because... Obviously you have-- I wanted to hire somebody who was legitimately Hispanic, and not somebody putting on a fake accent.
covi0102	Julian: Oh, for sure.
covi0103	Darragh: And normally in sort of the casting process you'd sit down with the project leader. You'd probably have five to ten candidates that you'd be looking at, and with Manny we had two. And Tony was more Humphrey Bogart and the actor was more comedic, and I was terrified that Tim was going to go the comedic route because I thought Tony was the guy. I remember printing out résumés for the two guys and Tony had a lot more experience. Then there was a really cool picture of Tony taken from Havana where he's sitting up at the bar, and he just looked cool. I made sure that went in, too, just to help kind of push it in the direction I wanted it to go.
covi0104	Julian: And it's just, it's the perfect voice.
covi0105	Darragh: Yeah, yeah, he's great.
covo0101	Tim: There was a-- The elevator in my dorm that you could... push open while it was moving. You push the gate open, it freezes it in between floors, and hang out in the elevator for no reason. But there was a little, like a little, like, strip of metal up in the corner that that door would plug into when it was closed to know that it was closed. And we tried to get the elevator moving with the door open by sticking-- We're sticking our fingers in this thing, trying to trigger the little switch. I totally got electrocuted because it was like a live, actual electrical current in there.
covo0102	Peter M: Yeah, ouch!
covo0103	Tim: So that's where that comes from. That little door closing thing.
covo0104	Peter M: From ill-advised college activities?
covo0105	Tim: Ill-advised, drunken college dorm elevator near-death pranks.
cobl0101	Dave: The animation team was very green and we were lucky to work under people like Pete [Tsaykel] and some other senior folks on the team, like Eric Ingerson and Mark Hamer. We came out of school learning traditionally 2-D animation and probably had about a month or two of work on "Monkey Island 3," I think, which was still semi-traditional. And then this was our first kind of interaction with the 3-D and computers and we struggled. We watched Eric do the most complex things you can imagine.
cobl0102	Peter T: It was all very new. I think we had a couple of consulting sessions. This was back when we were still kind of connected to ILM, and so we had Kyle Balda who's a, was a LucasArts alum, and at the time worked at ILM. He came over and gave us some 3-D pointers. At a couple of points we had some special private sessions.
coop0101	Dave: Oh, I wanted to also talk about-- I think this was, this may have been the first game, it may not have, but at LucasArts that I can remember, where you walk the character around and procedurally his head, Manny's head is turning towards--
coop0102	Paul: Oh, right.
coop0103	Dave: -- points of interest.
coop0104	Mark: Yeah.
coop0105	Dave: Procedurally!
coop0106	Mark: It was the first head tracking, right, at LucasArts?
coop0107	Dave: With a computer!
coop0108	Alex: Oh, definitely at LucasArts it was, for sure.
coop0109	Mark: I think that was because Tim didn't want to have like the UI highlighting stuff, right? Or he wanted to try something new.
coop0110	Dave: Yeah, it was partial hint and partial probably red herring, right?
coop0111	Mark: Oh.
coop0112	Dave: Like just show the player that they're in, point them in the direction of interesting subjects in the environment.
coop0113	Alex: And I mean, it shows you everything you can interact with, and not everything you can interact with is a solution, either.
coop0114	Peter T: There's no UI in this game, if anyone didn't notice, and that was by design.
coar0101	Peter M: I love the pulling the stocking down, and the leg bone being sexy. That's awesome.
coar0102	Tim: Our one cover image. Was it like a magazine? PC Games magazine, that image.
coar0103	Peter M: Oh yeah, I remember.
coar0104	Tim: But what is that from? This is definitely a reference to "Popeye."
coar0105	Peter M: And also, "Go ahead and scratch," right?
coar0106	Tim: What's "go ahead and scratch"?
coar0107	Peter M: When Humphrey Bogart, in "Maltese Falcon"--sorry, not "Maltese...", "Big Sleep." Humphrey Bogart is meeting-- Lauren Bacall comes into his office and she sits on his desk, and she crosses her legs, and she's scratching her knee. And the camera is showing you this from a interesting angle, right? Then she sees that he's looking at her scratching her knee and she covers her knee with her dress. He says, "Go ahead and scratch."
coar0108	Tim: "Go ahead and scratch." Um, I was thinking more of "Popeye." Olive Oyl falls into cement and she steps out of cement and everyone's whistling at her 'cause she has shapely legs and the cement falls away and she has Olive Oyl legs.
coar0109	Peter M: Oh I forgot that.
coar0110	Tim: That's what I always think of when I think of this scene.
coar0111	Peter M: There it is.
coar0201	Kevin: Yeah, so people, you know, a lot of people may know this already, but for those that don't: the game is just a big pre-rendered picture. There's no 3-D geometry in the game that describes the walls and the doors and the tables and all the props that are in the game. That's just a picture, a painting that's drawn in the background. So somebody had to go in manually and kind of make what we call walk boxes, but they're in 3-D space. They're like a little model that just describes, in 3-D space, where the, where Manny's allowed to walk. And if you turn the background off they just look like they're floating in space. There's nothing there. And there's boxes for walking, there's boxes for shadows, there's boxes for triggers that trigger, like, footstep sounds and things like that. But yeah, the image you see on the screen when you're playing the game, there is no real geometry there, so getting the illusion that Manny can walk in between tables and bounce off of walls and things like that is all smoke and mirrors.
coar0301	Peter M: See, I like that you still are not quite sure about Meche.
coar0302	Tim: That happens a lot in those noir movies.
coar0303	Peter M: Totally, it's just like--
coar0304	Tim: The woman is like, wait, is she in leagues with the bad guy, or is she being controlled and being blackmailed by the bad guy?
coar0305	Peter M: Yes. A testament to the fact that they're written by men.
coar0306	Tim: Ha ha ha ha ha... nervous laughter.
coil0101	Tim: Oh no, all the sprouted sailors. But what happens to their souls when they're sprouted?
coil0102	Peter M: I was wondering that myself.
coil0103	Tim: I think the idea was that they take the flowers and bring them back to the Land of the Living. They, like, get recycled.
coil0104	Peter M: Ah, they--
coil0105	Tim: I never really thought it through.
coil0106	Peter M: -- they get reincarnated which is sort of what you don't wanna do, if you're [dead].
comn0101	Kevin: One of the things with Manny's head and the look-at stuff was, um, it really meant that you couldn't put a lot of inventory items very close to each other, or limited the number of things in a room because even though you could toggle through and he would look at things kind of in sequence, it could get tricky if you put like three things on a table. Is he looking at thing number one, thing number two, or thing number three? So that was an interesting thing 'cause Lucas[Arts] was known for these adventure games with very dense-- Yeah, lots of things to click on in the screen. And you really couldn't do that here, but the game doesn't really feel lacking for it.
comn0102	Bret: I feel like that's filled in with dialogue. I mean ultimately you'd have those hunt-the-pixel games, you'd have a million things and you'd have to have one line for each thing. And with this one it's more like there are fewer things but there's more to say about each one, or more context or Manny kind of thinking to himself about things. It's a little more ruminating. So I think it adds to the character, just in terms of how much you kind of understand Manny or empathize with him.
comn0201	Lleslle: And do you remember the "Jesus bug?"
comn0202	Clint: No.
comn0203	Lleslle: The one where, when Manny would come on the water and he would float around, all over the screen? And so it would just randomly show up. And that was this bug that could not be squashed, that we think we'd kill and it'd come back. And talking about just trying to get it done, right? We were around the clock, it was towards the end. And literally we were, some of us were sleeping there and Bret Mogilefsky was working around the clock. And finally it was Tim, Steve Dauterman, myself, and then Bret's like, "I gotta go home now. I'm gonna go home now and they're going to test the new build." You know, and I was like, "Okay, go home. Get some sleep." It was like two or three in the morning. And then he just got home, and the "Jesus bug" came back.
comn0204	Clint: Ohh.
comn0205	Lleslle: Yeah! And then we were sitting in Steve Dauterman's office. And then I was on the couch and we were like, "Well, who's gonna call Bret?" And Steve looks at me and he's like, "You're the production manager." And it was like, oh gah!
comn0206	Clint: "Hey Bret, how's it going?"
comn0207	Lleslle: I know. "Hey, hi, can you come back? Thanks!"
comn0301	Tim: Reciprocating chisel... This scene is kind of actually right out of "The Fountainhead," this really-- Um, I think it's, is it Gary Cooper, or um... someone like that. And he's doing this super manly, like, drilling into this wall and the love interest of it comes over and is watching him, getting all aroused in a kind of a nineteen-thirties kind of way. And she's so mad that she's like-- She's out riding her horse and she slaps her riding crop onto her leg, show[s] her frustration. It's this hilarious scene. But for some reason I really like this jackhammer that he's just going into this wall with. And so it's here in a very similar erotic content here between Manny and Chepito.
comn0302	Peter M: Yeah, it's like I can see the... I can see the brotherly love.
cops0101	Dave: I wanted to point out that this octopus that we're seeing underwater was, I think, one of the things that Eric Ingerson took on.
cops0102	Mark: I was gonna say that, yeah.
cops0103	Dave: And it is-- That, back in 1997, that's probably like an animator's worst nightmare right there, I think. Trying to animate all those tentacles and not having a really intricate rig to work and keep all the curves in the arms. I'm not quite sure if Eric animated the tentacles frame-by-frame and bone-by-bone. I think he may have actually spent more time working on a rig to get what he wanted than he did animating.
cops0104	Mark: Yeah, he definitely set that character up, and he worked on that animal. And I think he did the spiders too, weren't we saying?
cops0105	Dave: I think Chris Schultz did some of that.
cops0106	Mark: Oh, Chris Schultz did the spiders.
cops0107	Dave: He may have rigged it, maybe.
cops0108	Mark: But Eric, he was really good at rigging and setting up the really complicated characters so that they would animate well.
cops0109	Dave: I think I remember Chris Schultz having some kind of elation going on when he got the spider rig 'cause he thought it was cool the way it worked.
cops0201	Kevin: You know, Tim's really into black velvet.
cops0202	Bret: Yeah.
cops0203	Kevin: And when I showed up my first day at work, there was a black velvet... kind of canvas, I don't know what it was. It was like this kind of like, you'd win it at the fair kind of thing. And it was like the grim reaper on a motorcycle with Mount Fuji in the background with these eagles flying out of it. And it was just pinned to the wall above my desk on the project. And for the entire project we really didn't talk much about it. It was just kind of there. And then when I moved on to the next project after it, I left my desk exactly the way I had found it, with the thing pinned up to the wall and the whole thing. And then Tim came and gave it to me. I still have it in my office right now. But he was like, "That's the mural that binds together 'Full Throttle' and 'Grim Fandango'--
cops0204	Bret: Interesting.
cops0205	Kevin: "--because it's the grim reaper on a motorcycle."
coea0101	Tim: And this is the part of the game I feel like it a lot more inspired by, actually, "City of Lost Children."
coea0102	Peter M: --"Children," yeah, right.
